signal_name,forced_cover_bucket,events,avg_return,median_return,win_rate,avg_mfe,avg_mae,breakeven_cost,avg_return_minus_cost,cost_beating_avg,enough_events,candidate_bucket,bucket_type,buy_aggression_bucket,volume_shock_bucket,trend_regime,volatility_regime,trend_vol_bucket
current_short_squeeze_signal,,18,0.00034842732919994194,0.0009841880126650882,0.6111111111111112,0.002997520594598408,-0.0026859954622260505,0.0012,-0.000851572670800058,False,False,False,trend_vol_bucket,,,,,trend_down__normal_vol
current_short_squeeze_signal,,5,0.00025254416809228353,0.00017816732033026916,0.6,0.0015366529384976068,-0.0004905005531997908,0.0012,-0.0009474558319077164,False,False,False,trend_vol_bucket,,,,,trend_down__low_vol
current_short_squeeze_signal,,19,-7.923560866366539e-05,0.00016528837489526715,0.631578947368421,0.0009913092982436126,-0.0010474257925842405,0.0012,-0.0012792356086636654,False,False,False,trend_vol_bucket,,,,,mixed_trend__low_vol
current_short_squeeze_signal,,69,-0.00014174303089412314,-0.0002500054688695519,0.43478260869565216,0.0016819151461525763,-0.0016216861366761131,0.0012,-0.001341743030894123,False,True,False,trend_vol_bucket,,,,,trend_up__normal_vol
current_short_squeeze_signal,,51,-0.00037702066520730124,-0.0002978813925725854,0.39215686274509803,0.0015116400066584814,-0.001643458376433579,0.0012,-0.001577020665207301,False,True,False,trend_vol_bucket,,,,,trend_up__low_vol
current_short_squeeze_signal,,36,-0.0004261896430517473,-0.0007854254199149979,0.4166666666666667,0.0020972917578806235,-0.002438991730060233,0.0012,-0.0016261896430517472,False,True,False,trend_vol_bucket,,,,,trend_up__high_vol
current_short_squeeze_signal,,12,-0.0009073830167563671,0.0005517426335365228,0.5833333333333334,0.002375532259587032,-0.003210238985752567,0.0012,-0.002107383016756367,False,False,False,trend_vol_bucket,,,,,mixed_trend__high_vol
early_squeeze_candidate_signal,,22,0.00039251751370082563,-0.0002668960676054932,0.4090909090909091,0.002251303427900425,-0.0013232380928884689,0.0012,-0.0008074824862991743,False,True,False,trend_vol_bucket,,,,,trend_up__high_vol
early_squeeze_candidate_signal,,55,0.0002813601139518239,0.0005659543729070737,0.6909090909090909,0.001989038219040089,-0.0016788641205726963,0.0012,-0.000918639886048176,False,True,False,trend_vol_bucket,,,,,trend_down__normal_vol
early_squeeze_candidate_signal,,44,0.00018996582594833398,0.00026863053444614593,0.5681818181818182,0.0011981950836756098,-0.0010826826941728847,0.0012,-0.0010100341740516658,False,True,False,trend_vol_bucket,,,,,trend_down__low_vol
early_squeeze_candidate_signal,,107,-2.596317768192118e-05,-0.00010705475387451369,0.4766355140186916,0.001363514071246239,-0.0013157867213466588,0.0012,-0.001225963177681921,False,True,False,trend_vol_bucket,,,,,trend_up__low_vol
early_squeeze_candidate_signal,,39,-7.27766928622713e-05,0.00010335373646830348,0.5897435897435898,0.001010332630157567,-0.0010629106659433313,0.0012,-0.0012727766928622712,False,True,False,trend_vol_bucket,,,,,mixed_trend__low_vol
early_squeeze_candidate_signal,,76,-8.629779857110962e-05,-0.00010833378349922596,0.4605263157894737,0.0011762267518160242,-0.0011774476530252884,0.0012,-0.0012862977985711095,False,True,False,trend_vol_bucket,,,,,trend_up__normal_vol
early_squeeze_candidate_signal,,27,-0.00010795046713993648,-6.983573381946773e-05,0.48148148148148145,0.0017735559131872528,-0.001655407517564717,0.0012,-0.0013079504671399363,False,True,False,trend_vol_bucket,,,,,mixed_trend__normal_vol
early_squeeze_candidate_signal,,27,-0.00021242837059930753,-0.0006294127803688765,0.4074074074074074,0.001141379354056646,-0.002179690912360641,0.0012,-0.0014124283705993074,False,True,False,trend_vol_bucket,,,,,trend_down__high_vol
early_squeeze_candidate_signal,,9,-0.00035062569594625074,0.00025975537644495894,0.5555555555555556,0.0016738762499321307,-0.0027873651148120843,0.0012,-0.0015506256959462506,False,False,False,trend_vol_bucket,,,,,mixed_trend__high_vol
