signal_name,horizon,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
trend_filtered_short_squeeze_signal,12b,156,-0.0004479239181341481,-0.0004560827968330128,0.3974358974358974,0.002283108055950318,-0.0024383335258978847
early_squeeze_candidate_signal,1b,406,-2.3038737543916876e-05,-7.008618785891985e-05,0.458128078817734,0.0007143030863210676,-0.0006792335449918193
early_squeeze_candidate_signal,2b,406,-4.025068353016052e-05,-8.011919029449199e-05,0.4630541871921182,0.0008854142768110268,-0.0008588413052443169
early_squeeze_candidate_signal,3b,406,-4.239897164701313e-05,-0.00010534494150166163,0.458128078817734,0.0010211116156731736,-0.0010250728326078487
early_squeeze_candidate_signal,6b,406,2.0906020450790278e-05,6.471899470761322e-05,0.5172413793103449,0.0014288342634118868,-0.0014025848858269688
early_squeeze_candidate_signal,12b,406,-4.544648589958893e-05,-2.283845302442078e-05,0.49261083743842365,0.0020299273354315987,-0.0019759373886553077
downtrend_forced_cover_signal,1b,65,0.0004858484012594699,0.0002772890595961197,0.6153846153846154,0.0013093981739962953,-0.0007569419623939396
downtrend_forced_cover_signal,2b,65,0.0005940965859728594,0.000374344896431289,0.5846153846153846,0.0016043288842249002,-0.000954299363145268
downtrend_forced_cover_signal,3b,65,0.0006557079911367226,0.00039883081798453013,0.5846153846153846,0.0018986298906041165,-0.0012314848202920657
downtrend_forced_cover_signal,6b,65,0.0007845467428662664,0.0003747059032637168,0.5846153846153846,0.002744424677193064,-0.0017037709628564784
downtrend_forced_cover_signal,12b,65,0.0006643312093023584,7.082531434821071e-05,0.5230769230769231,0.0034814210543576284,-0.0024461367874158363
downtrend_normalvol_forced_cover_signal,1b,28,0.00029027963905952796,0.00021465213413995876,0.6428571428571429,0.0010067384957821207,-0.0007668573517267527
downtrend_normalvol_forced_cover_signal,2b,28,0.000236005651767334,6.220165634451824e-05,0.5357142857142857,0.001278117572600268,-0.0009279653080085977
downtrend_normalvol_forced_cover_signal,3b,28,0.00028275179005559015,4.583984993211665e-05,0.5,0.0016763954974468903,-0.001398691306191639
downtrend_normalvol_forced_cover_signal,6b,28,0.00037499196690209325,0.0008976373565944273,0.6071428571428571,0.002429279524417064,-0.0020493949008360984
downtrend_normalvol_forced_cover_signal,12b,28,0.0013537722158916726,0.0010520093790664653,0.6785714285714286,0.003582832896857648,-0.0023251601969737318
downtrend_highvol_forced_cover_signal,1b,29,0.0007626651356394456,0.0002460693785875101,0.5517241379310345,0.0017697926391905222,-0.0008097805347929622
downtrend_highvol_forced_cover_signal,2b,29,0.0008544894522448512,0.00037866873886049923,0.5517241379310345,0.0020129898574290602,-0.0010771194839699618
downtrend_highvol_forced_cover_signal,3b,29,0.0008647273891043197,0.0005017395052362428,0.5862068965517241,0.002189230322485693,-0.0012439031655360545
downtrend_highvol_forced_cover_signal,6b,29,0.0013592294073325013,0.0006226308212557985,0.5862068965517241,0.003314532692631171,-0.0016608333841723027
downtrend_highvol_forced_cover_signal,12b,29,0.0002025285534960868,-0.0004987521836785636,0.41379310344827586,0.0036773263269707242,-0.00264632841462093
