sample_split,signal_name,holding_bars,holding_minutes,cost_label,round_trip_cost,trades,win_rate,avg_net_return,median_net_return,total_return,profit_factor,max_drawdown,best_trade,worst_trade
in_sample,downtrend_highvol_forced_cover_signal,9,45,base_cost,0.0012000000000000001,8,0.25,0.0014314177611729712,-0.0007512789422314585,0.011398078038959314,2.889324388759867,-0.003508673537359619,0.014959238661148256,-0.0015839374801267284
in_sample,downtrend_highvol_forced_cover_signal,9,45,high_cost,0.0018,8,0.25,0.0008309915082205174,-0.0013512686994666334,0.006556942630325802,1.688141455085536,-0.007688783484770312,0.014356107114382823,-0.0021837607222957786
in_sample,downtrend_highvol_forced_cover_signal,12,60,no_cost,0.0,8,0.625,0.0025877166735241153,0.0009100626353953922,0.0207827522901316,6.6318083533522,-0.003239762980156158,0.014581259957135329,-0.003239762980156047
in_sample,downtrend_highvol_forced_cover_signal,12,60,low_cost,0.0006000000000000001,8,0.5,0.0019872191799387958,0.0003099006390680063,0.01590174531795374,3.628389544123681,-0.0038390950943485436,0.013978363994740351,-0.003839095094348588
in_sample,downtrend_highvol_forced_cover_signal,12,60,base_cost,0.0012000000000000001,8,0.5,0.001386761777833848,-0.00029022133286513635,0.011041496134807538,2.313297971434869,-0.004438387350089945,0.013375508603423425,-0.0044383873500899226
in_sample,downtrend_highvol_forced_cover_signal,12,60,high_cost,0.0018,8,0.375,0.0007863444551855711,-0.0008903032924073783,0.006201927205329527,1.5795943812334878,-0.0064878986233538605,0.012772693771016953,-0.0050376397593340436
in_sample,downtrend_highvol_forced_cover_signal,18,90,no_cost,0.0,8,0.625,0.002998592901745964,0.0010129673428653785,0.02407848622180575,7.808709802495178,-0.002504952632135349,0.019019742718370702,-0.002504952632135349
in_sample,downtrend_highvol_forced_cover_signal,18,90,low_cost,0.0006000000000000001,8,0.5,0.0023980132411317552,0.0004127847676545064,0.019183009697685494,4.241164969719983,-0.0031044316937027805,0.018415959148184013,-0.0031044316937027137
in_sample,downtrend_highvol_forced_cover_signal,18,90,base_cost,0.0012000000000000001,8,0.5,0.001797473688427929,-0.00018735777904735834,0.014308347167462765,2.7287663564069184,-0.004607072109802601,0.01781221632656185,-0.0037038708674354873
in_sample,downtrend_highvol_forced_cover_signal,18,90,high_cost,0.0018,8,0.5,0.001196974231606078,-0.0007874603092445575,0.009454420904859706,1.893527320648397,-0.007842512487983733,0.01720851424128287,-0.00430327016529599
in_sample,downtrend_highvol_forced_cover_signal,24,120,no_cost,0.0,8,0.75,0.002546245724438373,0.0015040342409428087,0.02037121140376308,3.4939889237394577,-0.008154618719155793,0.018472199658828847,-0.00599991220717655
in_sample,downtrend_highvol_forced_cover_signal,24,120,low_cost,0.0006000000000000001,8,0.625,0.0019457565242135518,0.0009037534621725966,0.015491979689127966,2.647157174447265,-0.009347691155359161,0.01786852558630443,-0.006598692346721213
in_sample,downtrend_highvol_forced_cover_signal,24,120,base_cost,0.0012000000000000001,8,0.625,0.0013453074138107903,0.0003035127315484061,0.010633498984642609,1.9567869446174138,-0.010877852282496825,0.01726489224044916,-0.007197432738187492
in_sample,downtrend_highvol_forced_cover_signal,24,120,high_cost,0.0018,8,0.375,0.0007448983812067753,-0.0002966879629403773,0.005795691777599865,1.4368876740991359,-0.013586301483690444,0.016661299609048587,-0.007796133393496295
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,no_cost,0.0,10,0.7,0.0016867109567789474,0.000892592233174172,0.016945935010399982,5.498663461817738,-0.0023700398605525086,0.009591032969687774,-0.0018299312726921535
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,low_cost,0.0006000000000000001,10,0.5,0.0010863936463186845,0.0002924337305778128,0.010867683118790383,2.878714211510562,-0.003567743839829607,0.008989134952895618,-0.0024295453250324115
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,0.0012000000000000001,10,0.5,0.0004861163913094109,-0.0003076847483226335,0.0048225496248581745,1.5535505813481312,-0.006571607213090247,0.008387277307632468,-0.003029119462545115
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,high_cost,0.0018,10,0.4,-0.00011412082026196341,-0.0009077632155311754,-0.0011896287144150808,0.9074531570255499,-0.010146038562080961,0.007785460021790459,-0.0036286536972011327
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,no_cost,0.0,10,0.6,0.0018188379007108568,0.00038011124212766756,0.018227825747530124,3.6016529898200145,-0.005805815535477321,0.010870920318836852,-0.00489905742630703
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,low_cost,0.0006000000000000001,10,0.5,0.0012184941675040587,-0.0002199447745191315,0.012142397579727904,2.223206033731273,-0.007012483430989591,0.010268766350170112,-0.005498057714792881
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,0.0012000000000000001,10,0.4,0.0006181904950317679,-0.0008199607879631802,0.00609012430953082,1.4603779355566329,-0.010585032088964219,0.009666652804212328,-0.006097018211179561
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,high_cost,0.0018,10,0.3,1.792687127931819e-05,-0.0014199368102018816,7.084252648970057e-05,1.0101982529602735,-0.014146626402810836,0.009064579668840757,-0.006695938927400745
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,no_cost,0.0,10,0.6,0.0006821863642066716,0.00038435164050087955,0.006782059631435855,1.6569308784194556,-0.008116959186764028,0.0063502221742459675,-0.004431086080682323
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,low_cost,0.0006000000000000001,10,0.5,8.206993857641257e-05,-0.00021570522414081602,0.0007605335945810587,1.0616730083363568,-0.010066273822179506,0.005748972254803153,-0.005030179954078662
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,base_cost,0.0012000000000000001,10,0.3,-0.0005180064717717475,-0.0008157220854099526,-0.005228161715267077,0.694405130770179,-0.013629055322383565,0.0051477625772956784,-0.005629234016662909
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,high_cost,0.0018,10,0.3,-0.0011180428788388971,-0.0014156989553047105,-0.011184188225205616,0.47133323974971636,-0.01718090884726009,0.004546593129654754,-0.006228248280373848
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,no_cost,0.0,10,0.5,0.000699045742724691,-0.0007722737129539081,0.006908953602865253,1.4379653060221584,-0.009059569424885283,0.007993977680097242,-0.005912432199413287
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,low_cost,0.0006000000000000001,10,0.4,9.892594555590567e-05,-0.0013720992756550586,0.0008867020926821567,1.0508265686280662,-0.01262510242992576,0.007392399042425346,-0.006511229833209886
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,base_cost,0.0012000000000000001,10,0.4,-0.000501153835656664,-0.00197188488123493,-0.005102714926719432,0.7826730188539744,-0.01617970165421878,0.006790860712418878,-0.007109987715430454
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,high_cost,0.0018,10,0.4,-0.0011011936129142071,-0.002571630541677493,-0.011059459400022842,0.5868891341683431,-0.019723394988665488,0.006189362677989953,-0.007708705857996122
out_of_sample,downtrend_highvol_forced_cover_signal,18,90,no_cost,0.0,10,0.5,-2.730551072968046e-05,-0.00017266399663917742,-0.0003818915664257627,0.9848910914430378,-0.01740889829702763,0.009160740781357646,-0.008728425838156695
out_of_sample,downtrend_highvol_forced_cover_signal,18,90,low_cost,0.0006000000000000001,10,0.4,-0.0006272800521733731,-0.0007726094692925174,-0.006363428679030392,0.7027983666708386,-0.020947709486948574,0.008558928814398082,-0.009326660329539925
out_of_sample,downtrend_highvol_forced_cover_signal,18,90,base_cost,0.0012000000000000001,10,0.3,-0.001227214606706139,-0.001372514960847592,-0.01231233788762831,0.5116365850720825,-0.024475659081626744,0.007957157201760845,-0.009924855181952607
out_of_sample,downtrend_highvol_forced_cover_signal,18,90,high_cost,0.0018,10,0.3,-0.0018271091863205399,-0.0019723804832950873,-0.018228780191396843,0.3769465899670452,-0.02799277481083473,0.007355425931343841,-0.010523010407283005
out_of_sample,downtrend_highvol_forced_cover_signal,24,120,no_cost,0.0,10,0.4,0.0002237441810644114,-0.0017815826309603988,0.0020206777576290413,1.0896076085557331,-0.020160183876867244,0.01224970258432756,-0.009954246086758656
out_of_sample,downtrend_highvol_forced_cover_signal,24,120,low_cost,0.0006000000000000001,10,0.4,-0.00037628056529713744,-0.0023812063520620595,-0.003974322493523363,0.8682685437388528,-0.023690192406751187,0.011647272886780647,-0.010552235438606105
out_of_sample,downtrend_highvol_forced_cover_signal,24,120,base_cost,0.0012000000000000001,10,0.4,-0.0009762653147088017,-0.002980790156402823,-0.00993662630007941,0.6964241801440308,-0.02720936311369415,0.011044883667077255,-0.011150185200501128
out_of_sample,downtrend_highvol_forced_cover_signal,24,120,high_cost,0.0018,10,0.3,-0.0015762100791661502,-0.003580334055954336,-0.01586639497590947,0.5627190538552744,-0.03071772367442016,0.010442534913078429,-0.011748095384317224
