sample_split,signal_name,horizon,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
in_sample,downtrend_highvol_forced_cover_signal,12b,11,0.001912966995666232,2.6572318533091277e-05,0.5454545454545454,0.004221780206368148,-0.0014489236500369546
out_of_sample,breakout_forced_cover_signal,1b,126,-0.00021551058694557315,-0.000128956817343151,0.42857142857142855,0.0011586214942604076,-0.0014202379896064415
out_of_sample,breakout_forced_cover_signal,2b,126,-0.000220737943844484,-0.0002550521924220561,0.40476190476190477,0.001404355979433951,-0.0016485348435296408
out_of_sample,breakout_forced_cover_signal,3b,126,-0.00013817656477336607,-0.00029034098805219566,0.4126984126984127,0.0016815300855410732,-0.0019193513933715395
out_of_sample,breakout_forced_cover_signal,6b,126,-0.00038668138310128685,-0.00024548417190001226,0.4523809523809524,0.002239487765319362,-0.002550732391744822
out_of_sample,breakout_forced_cover_signal,12b,126,-0.0009290574842291792,-0.0005522829765758352,0.4126984126984127,0.0027653744904261772,-0.0037044011271683843
out_of_sample,downtrend_forced_cover_signal,1b,28,0.0005880327247272744,5.539176414848246e-05,0.5357142857142857,0.001584830178275384,-0.0010322993933379004
out_of_sample,downtrend_forced_cover_signal,2b,28,0.000696015328470269,-6.413278811495671e-05,0.4642857142857143,0.0018620503000939298,-0.0012881695063816287
out_of_sample,downtrend_forced_cover_signal,3b,28,0.0010259329151791777,0.0003598322641855667,0.5357142857142857,0.0024027894135381484,-0.0015949347189648483
out_of_sample,downtrend_forced_cover_signal,6b,28,0.0011277638774835144,0.00010896396121939933,0.5357142857142857,0.003277303931975736,-0.0019860509873170784
out_of_sample,downtrend_forced_cover_signal,12b,28,0.0008330623079640229,0.000164750968108196,0.5357142857142857,0.004183067856514218,-0.0029653218921595176
out_of_sample,downtrend_normalvol_forced_cover_signal,1b,9,0.00011470654827944799,0.00023468247305014067,0.6666666666666666,0.0010699770840854298,-0.0010338497872613367
out_of_sample,downtrend_normalvol_forced_cover_signal,2b,9,-0.00013995575221021413,-5.0281367236393315e-05,0.4444444444444444,0.0012575706195031937,-0.0013185828444466363
out_of_sample,downtrend_normalvol_forced_cover_signal,3b,9,0.0010788749559156072,0.00028862947129715266,0.5555555555555556,0.002310190259926687,-0.0017355494207703535
out_of_sample,downtrend_normalvol_forced_cover_signal,6b,9,0.0019283353736739962,0.0014585083511586827,0.7777777777777778,0.003595001426992687,-0.0019393212756419784
out_of_sample,downtrend_normalvol_forced_cover_signal,12b,9,0.0038539147956617357,0.002142298874531212,0.8888888888888888,0.005786012411110085,-0.002015269858176436
out_of_sample,downtrend_highvol_forced_cover_signal,1b,18,0.0009368336373559963,3.061532905823672e-05,0.5,0.001895641075833226,-0.0009574805965433191
out_of_sample,downtrend_highvol_forced_cover_signal,2b,18,0.001114329676908468,-0.0001230159006932463,0.4444444444444444,0.0021517814851136473,-0.0012131342437964692
out_of_sample,downtrend_highvol_forced_cover_signal,3b,18,0.0008925287044609438,0.00019271400438586328,0.5,0.0023909841034596147,-0.0014818412863196184
out_of_sample,downtrend_highvol_forced_cover_signal,6b,18,0.0008039635402477849,-0.0005904030159952223,0.4444444444444444,0.003108934437496195,-0.0019883584429872753
out_of_sample,downtrend_highvol_forced_cover_signal,12b,18,-0.0008427393833856686,-0.001775782983832408,0.3333333333333333,0.00334460451178341,-0.0033780757707555817
